Company,Sector,Revenue,Revenue_Growth,EBITDA_Margin,FCF_Conversion,ROIC,Net_Debt_EBITDA,Customer_Concentration,Recurring_Revenue,Rule_Of_40,Market_Position
Atlas Workflow Systems,B2B Software,515,0.115,0.185,0.72,0.142,1.0,0.22,0.82,0.300,Leader
Nexus Data Cloud,B2B Software,780,0.162,0.214,0.81,0.188,0.6,0.14,0.89,0.376,Leader
CoreOps Services,IT Services,440,0.071,0.145,0.58,0.104,2.4,0.31,0.48,0.216,Challenger
Beacon HealthTech,Healthcare IT,610,0.128,0.198,0.67,0.156,1.7,0.18,0.76,0.326,Challenger
Vertex Industrial,Industrial Tech,920,0.054,0.162,0.61,0.118,2.9,0.27,0.42,0.216,Niche
Summit FinOps,FinTech,350,0.214,0.121,0.44,0.097,1.9,0.24,0.71,0.335,Challenger
Harbor Analytics,Data & Analytics,285,0.186,0.238,0.86,0.221,0.3,0.11,0.84,0.424,Leader
Meridian Retail Tech,Retail Tech,510,0.092,0.108,0.39,0.083,3.2,0.35,0.38,0.200,Niche
Pioneer Payments,FinTech,695,0.143,0.176,0.63,0.134,1.3,0.16,0.79,0.319,Challenger
ClearPath Logistics,Logistics Software,405,0.063,0.152,0.55,0.101,2.1,0.29,0.52,0.215,Niche
